title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date
Story of Seasons: Trio of Towns,3DS,Simulation,Marvelous Interactive,Marvelous Entertainment,7.9,0.49,0.19,0.22,0.06,0.03,2017-02-28
Mario Golf: World Tour,3DS,Sports,Nintendo,Camelot Software Planning,8.1,0.49,0.14,0.18,0.15,0.03,2014-05-02
Tony Hawk's Project 8,X360,Sports,Activision,Neversoft Entertainment,8.4,0.49,0.44,0.0,0.02,0.04,2006-11-07
Resident Evil: The Mercenaries 3D,3DS,Shooter,Capcom,Capcom,6.3,0.49,0.16,0.13,0.17,0.03,2011-06-28
Dark Sector,X360,Shooter,D3 Publisher,Digital Extremes,7.1,0.48,0.22,0.01,0.2,0.05,2008-03-25
Children of Mana,DS,Role-Playing,Nintendo,Next Entertainment,7.0,0.48,0.16,0.29,0.01,0.01,2006-11-01
Harvest Moon 64,N64,Simulation,Natsume,Toy Box Studios,7.8,0.48,0.25,0.11,0.06,0.06,1999-11-30
Sonic Lost World,3DS,Platform,Sega,Dimps Corporation,5.2,0.48,0.22,0.07,0.15,0.04,2013-10-29
Crazy Taxi: Fare Wars,PSP,Racing,Sega,Sniper Studios,6.3,0.48,0.1,0.02,0.23,0.13,2007-08-07
Atelier Rorona: Alchemist of Arland,PS3,Role-Playing,NIS America,Gust,6.4,0.48,0.22,0.11,0.1,0.05,2014-06-24
Unreal Tournament III,X360,Shooter,Midway Games,Epic Games,7.8,0.47,0.25,0.01,0.17,0.05,2008-07-07
Silent Hill: Shattered Memories,Wii,Adventure,Konami,Climax Group,7.3,0.47,0.22,0.01,0.19,0.05,2009-12-08
Dark Sector,PS3,Shooter,D3 Publisher,Digital Extremes,7.2,0.47,0.23,0.01,0.16,0.07,2008-03-25
F.E.A.R. 2: Project Origin,PS3,Shooter,Warner Bros. Interactive,Monolith Productions,8.2,0.47,0.19,0.01,0.2,0.08,2009-02-10
Dead Space Extraction,Wii,Shooter,Electronic Arts,Visceral Games,8.2,0.47,0.32,0.01,0.1,0.04,2009-09-28
Final Fantasy Crystal Chronicles: Echoes of Time,DS,Role-Playing,Square Enix,Square Enix,7.7,0.47,0.12,0.27,0.06,0.02,2009-03-24
Sonic Mania,NS,Platform,Sega,PagodaWest Games,8.8,0.47,0.23,0.01,0.18,0.04,2017-08-15
Two Worlds II,PS3,Role-Playing,SouthPeak Interactive,Reality Pump,6.5,0.47,0.26,0.06,0.1,0.04,2011-01-25
Dynasty Warriors Gundam,PS3,Action,Namco Bandai,Omega Force,6.4,0.47,0.14,0.31,0.01,0.02,2007-08-28
Knack 2,PS4,Platform,Sony Interactive Entertainment,SIE Japan Studio,6.7,0.47,0.14,0.01,0.25,0.07,2017-09-05
James Bond 007: Blood Stone,X360,Action,Activision,Bizarre Creations,6.2,0.47,0.2,0.0,0.23,0.05,2010-11-02
2010 FIFA World Cup South Africa,PSP,Sports,EA Sports,EA Canada,6.8,0.47,0.09,0.03,0.23,0.12,2010-04-27
Viva Pinata: Trouble in Paradise,X360,Simulation,Microsoft Game Studios,Rare Ltd.,8.5,0.47,0.16,0.01,0.25,0.05,2008-09-02
FlingSmash,Wii,Action,Nintendo,Artoon,3.8,0.47,0.37,0.07,0.01,0.02,2010-11-07
Detective Pikachu,3DS,Adventure,Nintendo,Creatures Inc.,7.1,0.47,0.15,0.12,0.17,0.03,2018-03-23
Alien Trilogy,PS,Shooter,Acclaim Entertainment,Probe Entertainment Limited,8.0,0.47,0.24,0.04,0.16,0.03,1997-09-01
Luigi's Mansion,3DS,Adventure,Nintendo,GREZZO,7.3,0.47,0.19,0.09,0.16,0.03,2018-10-12
Fantavision,PS2,Puzzle,Sony Computer Entertainment,SCEI,8.0,0.47,0.14,0.19,0.11,0.04,2000-10-25
Mario Sports Superstars,3DS,Sports,Nintendo,Namco Bandai Games,6.0,0.46,0.18,0.13,0.12,0.03,2017-03-24
Need for Speed: Hot Pursuit,Wii,Racing,Electronic Arts,Exient Entertainment,5.0,0.46,0.17,0.0,0.24,0.05,2010-11-16
Classic NES Series: Pac-Man,GBA,Puzzle,Nintendo,Nintendo,5.7,0.46,0.25,0.12,0.09,0.01,2004-06-02
Red Faction: Armageddon,PS3,Shooter,THQ,Volition Inc.,7.0,0.46,0.2,0.03,0.15,0.07,2011-06-07
Hyrule Warriors: Definitive Edition,NS,Action,Nintendo,Omega Force,8.0,0.46,0.21,0.07,0.15,0.03,2018-05-18
.hack//Outbreak Part 3,PS2,Role-Playing,Bandai,CyberConnect2,7.1,0.46,0.14,0.17,0.11,0.04,2003-09-09
Vandal Hearts,PS,Role-Playing,Konami,Konami Computer Entertainment Tokyo,7.7,0.45,0.14,0.19,0.09,0.03,1997-03-27
PES 2009: Pro Evolution Soccer,Wii,Sports,Konami,Konami,8.4,0.45,0.09,0.05,0.26,0.05,2009-03-17
F.E.A.R. 3,PS3,Shooter,Warner Bros. Interactive,Day 1 Studios,7.8,0.45,0.21,0.01,0.16,0.07,2011-06-21
Phantasy Star Online Episode I & II,GC,Role-Playing,Sega,Sonic Team,8.2,0.45,0.23,0.16,0.06,0.01,2002-10-29
Enter the Matrix,GC,Action,Atari,Shiny Entertainment,6.5,0.45,0.34,0.02,0.09,0.01,2003-05-14
Bleach: The Blade of Fate,DS,Fighting,Sega,"Treasure Co., Ltd.",8.2,0.45,0.29,0.12,0.01,0.03,2007-10-09
Sid Meier's Civilization Revolution,DS,Strategy,2K Games,Firaxis,8.2,0.45,0.37,0.02,0.03,0.03,2008-07-08
Dynasty Warriors: Strikeforce,PSP,Action,Tecmo Koei,Omega Force,6.4,0.45,0.03,0.38,0.02,0.02,2009-04-28
Burnout Dominator,PSP,Racing,Electronic Arts,Criterion Games,7.8,0.45,0.02,0.01,0.38,0.05,2007-03-06
F.E.A.R. 3,X360,Shooter,Warner Bros. Interactive,Day 1 Studios,7.8,0.45,0.3,0.01,0.11,0.04,2011-06-21
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,Shooter,Sony Computer Entertainment,Slant Six Games,7.5,0.45,0.17,0.06,0.13,0.09,2010-02-16
Virtua Tennis 4,PS3,Sports,Sega,Sega-AM2,6.4,0.45,0.09,0.03,0.24,0.08,2011-05-10
Eternal Sonata,PS3,Role-Playing,Namco Bandai,Tri-Crescendo,8.3,0.44,0.19,0.07,0.12,0.05,2008-10-21
Hyperdimension Neptunia,PS3,Role-Playing,NIS America,Compile Heart,5.3,0.44,0.22,0.07,0.1,0.04,2011-02-15
The Darkness,X360,Shooter,2K Games,Starbreeze,8.3,0.44,0.36,0.01,0.04,0.03,2007-06-25
Resistance: Burning Skies,PSV,Shooter,Sony Computer Entertainment,Nihilistic Software,4.8,0.44,0.18,0.02,0.16,0.08,2012-05-29
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing,Atlus,Career Soft,7.6,0.44,0.34,0.06,0.01,0.04,2011-08-23
Samurai Warriors 3,Wii,Action,Nintendo,Omega Force,5.1,0.44,0.09,0.32,0.02,0.01,2010-09-27
Hey! Pikmin,3DS,Platform,Nintendo,Arzest,6.8,0.44,0.17,0.17,0.08,0.03,2017-07-28
Yu-Gi-Oh! 5D's Tag Force 4,PSP,Strategy,Konami,Konami,7.0,0.44,0.19,0.12,0.07,0.05,2009-11-17
Tetris Axis,3DS,Puzzle,Nintendo,Hudson Soft,7.8,0.44,0.2,0.06,0.14,0.03,2011-10-02
2014 FIFA World Cup Brazil,X360,Sports,EA Sports,EA Canada,7.3,0.44,0.15,0.0,0.25,0.03,2014-04-15
Chocobo Racing,PS,Racing,Square EA,SquareSoft,5.4,0.44,0.07,0.3,0.05,0.03,1999-07-31
Star Fox: Zero,WiiU,Shooter,Nintendo,Nintendo EPD,6.7,0.44,0.2,0.09,0.12,0.03,2016-04-22
NBA 2K18,NS,Sports,2K Sports,Visual Concepts,7.5,0.43,0.3,0.03,0.06,0.04,2017-09-19
Def Jam Icon,PS3,Action,Electronic Arts,Unknown,6.6,0.43,0.16,0.0,0.19,0.07,2007-03-06
Atelier Totori: The Adventurer of Arland,PS3,Role-Playing,NIS America,Gust,7.8,0.43,0.12,0.21,0.07,0.03,2011-09-27
Sin and Punishment: Star Successor,Wii,Shooter,Nintendo,"Treasure Co., Ltd.",8.4,0.43,0.19,0.06,0.14,0.03,2010-06-27
Doom (2016),NS,Shooter,Bethesda Softworks,id Software,8.2,0.43,0.24,0.01,0.15,0.04,2017-11-10
OkamiDen,DS,Adventure,Capcom,Capcom,8.3,0.43,0.21,0.13,0.07,0.02,2011-03-15
007: Quantum of Solace,PS2,Shooter,Activision,Treyarch,7.8,0.43,0.17,0.0,0.0,0.26,2008-11-04
Castlevania: Dawn of Sorrow,DS,Platform,Konami,Konami,8.9,0.43,0.34,0.03,0.03,0.03,2005-10-04
Mischief Makers,N64,Platform,Nintendo,"Treasure Co., Ltd.",6.5,0.43,0.25,0.07,0.06,0.06,1997-10-01
2010 FIFA World Cup South Africa,Wii,Sports,EA Sports,EA Canada,6.8,0.42,0.23,0.01,0.15,0.04,2010-04-27
Zack & Wiki: Quest for Barbaros' Treasure,Wii,Adventure,Capcom,Capcom,8.7,0.42,0.18,0.03,0.16,0.04,2007-10-23
Castlevania: The Dracula X Chronicles,PSP,Platform,Konami,Konami,8.0,0.42,0.22,0.04,0.09,0.07,2007-10-23
Vanquish,X360,Shooter,Sega,PlatinumGames,8.3,0.42,0.19,0.03,0.16,0.04,2010-10-19
Castlevania: Curse of Darkness,PS2,Action,Konami,Konami,7.2,0.42,0.18,0.05,0.14,0.05,2005-11-01
Battlefield 2: Modern Combat,X360,Shooter,Electronic Arts,Digtal Illusions,7.8,0.41,0.35,0.01,0.02,0.03,2006-04-11
Armored Core,PS,Simulation,Sony Computer Entertainment,From Software,7.2,0.41,0.13,0.16,0.09,0.03,1997-10-31
Zone of the Enders: The 2nd Runner,PS2,Simulation,Konami,Konami Computer Entertainment Japan,8.6,0.41,0.15,0.11,0.12,0.04,2003-03-10
Rune Factory 3: A Fantasy Harvest Moon,DS,Role-Playing,Natsume,Neverland Company,8.0,0.41,0.26,0.1,0.03,0.02,2010-11-09
Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,Racing,Nintendo,Nintendo EPD,7.0,0.41,0.16,0.06,0.15,0.03,2018-09-14
NiGHTS: Journey of Dreams,Wii,Platform,Sega,Sonic Team,7.0,0.41,0.32,0.04,0.02,0.03,2007-12-18
BlazBlue: Continuum Shift,PS3,Fighting,Aksys Games,Arc System Works,8.7,0.41,0.21,0.09,0.08,0.04,2010-07-27
Katamari Forever,PS3,Puzzle,Namco Bandai,Bandai Namco Games,7.3,0.41,0.26,0.06,0.05,0.04,2009-09-22
Ogre Battle 64: Person of Lordly Caliber,N64,Role-Playing,Atlus,Quest Corporation,9.1,0.41,0.1,0.25,0.02,0.04,2000-10-07
Castlevania: Portrait of Ruin,DS,Platform,Konami,Konami,8.5,0.4,0.31,0.04,0.02,0.03,2006-12-05
No More Heroes 2: Desperate Struggle,Wii,Action,Ubisoft,Grasshopper Manufacture,8.5,0.4,0.2,0.04,0.11,0.03,2010-01-26
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,Action,Konami,Konami,7.5,0.4,0.27,0.09,0.01,0.03,2009-05-19
Overlord,X360,Adventure,Codemasters,Triumph Studios,7.7,0.4,0.34,0.01,0.03,0.03,2007-06-26
Dungeon Siege III,PS3,Role-Playing,Square Enix,Obsidian Entertainment,7.3,0.39,0.17,0.03,0.13,0.06,2011-06-21
LocoRoco,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8.1,0.39,0.14,0.16,0.05,0.03,2006-09-05
Farming Simulator 2013,X360,Simulation,Focus Home Interactive,Giants Software,3.0,0.39,0.22,0.0,0.13,0.03,2013-11-19
Red Faction: Armageddon,X360,Shooter,THQ,Volition Inc.,7.1,0.39,0.18,0.01,0.16,0.04,2011-06-07
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,Adventure,Square Enix,Square Enix,6.7,0.39,0.21,0.08,0.08,0.03,2009-12-26
NBA Live 09,PSP,Sports,Electronic Arts,EA Canada,6.1,0.39,0.23,0.03,0.07,0.06,2008-10-07
Chibi-Robo! Plug into Adventure!,GC,Adventure,Nintendo,skip Ltd.,7.4,0.39,0.23,0.09,0.06,0.01,2006-02-06
Metal Gear Solid: Snake Eater 3D,3DS,Action-Adventure,Konami Digital Entertainment,Konami Computer Entertainment Japan,7.9,0.39,0.15,0.1,0.12,0.02,2012-02-21
Combat of Giants: Dinosaurs 3D,3DS,Strategy,Ubisoft,Ubisoft,4.3,0.39,0.25,0.05,0.07,0.03,2011-03-22
Advance Wars: Dual Strike,DS,Strategy,Nintendo,Intelligent Systems,9.0,0.39,0.3,0.04,0.03,0.03,2005-08-22
Hitman: Blood Money,X360,Action,Eidos Interactive,IO Interactive,8.1,0.39,0.29,0.01,0.06,0.03,2006-05-30
Hatsune Miku: Project Mirai DX,3DS,Misc,Sega,Sega,7.5,0.38,0.2,0.11,0.04,0.03,2015-09-08
